lambda_1,lambda_2,lambda_3,perplexity
0.9703,0.0206,0.0091,15.258575368070249
0.9703,0.0207,0.009,15.297590411622467
0.9703,0.0208,0.0089,15.336678075538268
0.9703,0.0209,0.0088,15.375532118226609
0.9703,0.021,0.0087,15.414272464397957
0.9703,0.0211,0.0086,15.453096244486481
0.9703,0.0212,0.0085,15.492106352344642
0.9703,0.0213,0.0084,15.530814545682142
0.9703,0.0214,0.0083,15.569835964884806
0.9703,0.0215,0.0082,15.608369761091007
0.9703,0.0216,0.0081,15.647314047736979
0.9703,0.0217,0.008,15.685783454908094
0.9703,0.0218,0.0079,15.72460990772619
0.9703,0.0219,0.0078,15.763164388136707
0.9703,0.022,0.0077,15.801735322153124
0.9703,0.0221,0.0076,15.840313769525052
0.9703,0.0222,0.0075,15.879002887058867
0.9703,0.0223,0.0074,15.917368387109274
0.9703,0.0224,0.0073,15.955644560048704
0.9703,0.0225,0.0072,15.994533705847228
0.9703,0.0226,0.0071,16.032822492089092
0.9703,0.0227,0.007,16.07137576493236
0.9703,0.0228,0.0069,16.109637380354073
0.9703,0.0229,0.0068,16.14807648188373
0.9703,0.023,0.0067,16.186408002929827
0.9703,0.0231,0.0066,16.224768657370895
0.9703,0.0232,0.0065,16.262933761436976
0.9703,0.0233,0.0064,16.301134762916224
0.9703,0.0234,0.0063,16.339510596233154
0.9703,0.0235,0.0062,16.37753099780779
0.9703,0.0236,0.0061,16.415958539420263
0.9703,0.0237,0.006,16.454074061981032
0.9703,0.0238,0.0059,16.492288280500258
0.9703,0.0239,0.0058,16.53008536578885
0.9703,0.024,0.0057,16.56855160167461
0.9703,0.0241,0.0056,16.60657877188633
0.9703,0.0242,0.0055,16.64445997125312
0.9703,0.0243,0.0054,16.682501129057943
0.9703,0.0244,0.0053,16.720597259780824
0.9703,0.0245,0.0052,16.75844834541223
0.9703,0.0246,0.0051,16.796505605670692
0.9703,0.0247,0.005,16.834205140141368
0.9703,0.0248,0.0049,16.872317006058225
0.9703,0.0249,0.0048,16.910405160123595
0.9703,0.025,0.0047,16.94820106611307
0.9703,0.0251,0.0046,16.986199244842176
0.9703,0.0252,0.0045,17.023707767550377
0.9703,0.0253,0.0044,17.061474440372617
0.9703,0.0254,0.0043,17.099363595185768
0.9703,0.0255,0.0042,17.137128323491996
0.9703,0.0256,0.0041,17.174788298483577
0.9703,0.0257,0.004,17.21270146365529
0.9703,0.0258,0.0039,17.25041372464468
0.9703,0.0259,0.0038,17.28808741774234
0.9703,0.026,0.0037,17.325567122399548
0.9703,0.0261,0.0036,17.3633904758065
0.9703,0.0262,0.0035,17.401007038947185
0.9703,0.0263,0.0034,17.438520282665415
0.9703,0.0264,0.0033,17.47595390922426
0.9703,0.0265,0.0032,17.513697612334482
0.9703,0.0266,0.0031,17.551406242004745
0.9703,0.0267,0.003,17.588926872881743
0.9703,0.0268,0.0029,17.626406916881447
0.9703,0.0269,0.0028,17.663928785816527
0.9703,0.027,0.0027,17.70140049544898
0.9703,0.0271,0.0026,17.738797137032602
